signal_id,sample_code,scs_label,Ash_Content,Area under FFT curve_raw,Magnitude of dominant frequency_raw,Spectral Bandwidth 1_raw,Spectral Bandwidth 2_raw,Spectral Bandwidth 3_raw,Spectral Area 1,Spectral Area 2,Spectral Area 3,Spectral Area 4,Spectral Entropy 1,Spectral Entropy 2,Spectral Entropy 3,Spectral Entropy 4,Absorption Proxy_proc,Peak Time_proc,Rise time_proc,Fall time_proc,Signal Energy_proc,Area under the curve_proc,1st peak magnitude/2nd peak magnitude
Low_C3_P1_05,C3,Low,,0.00028853030386232344,2.2443145943654312e-05,0.04099493861257869,0.05350420528248837,0.049214730541585074,1.72048710642484e-06,1.3774548631657076e-06,2.1887344550757676e-06,2.7163988597106252e-06,0.5953645475366807,0.8020706327001329,0.9322798854450721,0.9531435946792578,0.00407854543655573,2.68e-06,5.5526120195996e-07,1.45724204444399e-06,3.4750960193886255e-06,9.175497718783465e-10,1.0200331761301353
Low_C3_P1_10,C3,Low,,0.00028738832975626675,1.9504721331635395e-05,0.04443998768791171,0.05733950841906776,0.04914574801744988,1.3850853298887859e-06,1.2790883688542576e-06,2.1199868584285673e-06,2.8939299265062558e-06,0.6263518372221837,0.7336987015741437,0.9161168746586867,0.9473128204245936,0.00402478965330208,2.72e-06,5.877593604723484e-07,1.5508518060598032e-06,3.4533418368456254e-06,9.174414942085231e-10,1.3148886184365376
Low_C3_P2_05,C3,Low,,0.00028044837872786036,2.050379288404994e-05,0.05039674218129099,0.053406405982320326,0.05419358587063888,2.042157997220075e-06,1.4566071829008108e-06,1.6439419796547725e-06,1.2181356299782017e-06,0.841325451297685,0.919514169345874,0.7787620531062528,0.7484456187215396,0.00407353713376812,3.02e-06,3.4343487265643893e-07,2.544238283519902e-06,2.946854467714455e-06,8.169275087850132e-10,1.0459209441011794
Low_C3_P2_10,C3,Low,,0.00028225268763620956,2.6496272774892926e-05,0.05037081403192182,0.04940225628843675,0.0475339397866002,2.2169569290138194e-06,1.4066581720400785e-06,1.499762775831753e-06,1.202053680357421e-06,0.7204247187710644,0.8776561849346755,0.6479640782429582,0.7205686435971975,0.00408088264452328,3.1e-06,3.606969546779228e-07,2.534648031540247e-06,3.038960180343499e-06,8.265020217656649e-10,1.2403471966048654
Low_C3_P3_05,C3,Low,,0.0002871628896487832,1.908624372909722e-05,0.04574982615444578,0.06068839031196019,0.05872031503264225,1.6070051699023296e-06,8.689073203351393e-07,1.430833969718461e-06,2.3779004276126573e-06,0.7743238902905668,0.8868375538756217,0.8431511935876707,0.8739100360725958,0.00403447237202478,2.9e-06,4.70148369630306e-07,1.813683325791505e-06,2.920748309011151e-06,8.520900559529645e-10,1.32776096281686
Low_C3_P3_10,C3,Low,,0.00028498463245536424,1.8736883503135362e-05,0.0464236733654294,0.05771684264053855,0.05993345112961468,1.7072408992449877e-06,9.043597905574203e-07,1.274892240348569e-06,2.3155907731349736e-06,0.8029166908235398,0.9593741860380239,0.7477549056774886,0.8720697060656113,0.00403213516405723,2.88e-06,4.489244549794611e-07,1.8882518215761266e-06,2.5222633570576308e-06,7.49643966797227e-10,1.1818616351180165
Low_C3_P4_05,C3,Low,,0.00029109141637262496,2.4578144347635886e-05,0.05034078041102625,0.05225813892367983,0.03966706079804194,1.2664650758466784e-06,1.2331393803535255e-06,1.6585764337607758e-06,3.3231595085619486e-06,0.9372684701935375,0.9433291075299886,0.687571646631939,0.9209374895627461,0.00416134937597751,2.82e-06,5.629067049862427e-07,2.8449571279795494e-06,2.9034395018635455e-06,6.580908757062332e-10,1.4418075075514594
Low_C3_P4_10,C3,Low,,0.00028926958866290454,2.3085878093679684e-05,0.05352660321824943,0.052260695223787894,0.04162840019726956,1.0580612469866726e-06,1.0638687168447175e-06,1.73856113791944e-06,3.3340450413487497e-06,0.8633664458997671,0.9516086969495249,0.6955176297526694,0.9420572173695041,0.00406886271783302,2.76e-06,5.074521137297312e-07,1.7573067314243009e-06,2.95582076342769e-06,6.437665168301959e-10,1.443844071402393
Low_C3_P5_05,C3,Low,,0.0002871863112201822,2.2471799896171952e-05,0.05176492631083323,0.06324168422492943,0.05011308004099399,1.3301704416251808e-06,1.1016048270499913e-06,2.8025799987464954e-06,2.4486050350390604e-06,0.6612673508396311,0.7406855838491345,0.9419051192326058,0.8433130877507535,0.00414498892020465,2.72e-06,5.416464267567863e-07,4.306689167448109e-06,4.701999523430269e-06,1.009261039613582e-09,1.4158715416127219
Low_C3_P5_10,C3,Low,,0.0002875567420510612,2.233038671457593e-05,0.055486579613953445,0.062161742215094525,0.04815411297636669,1.3236471252858347e-06,1.0826000144705417e-06,2.9155001424813715e-06,2.2852769202950513e-06,0.7103843368984601,0.7960217767552176,0.9231157380485483,0.8249571126511377,0.00420842742218102,2.74e-06,5.631767932896022e-07,2.1277987397841013e-06,4.402729521384691e-06,9.494697714845907e-10,1.476532767685488
