signal_id,sample_code,pellet,shot,scs_label,file_source,Ignition_Temp,Ash_Content,Fixed_Carbon,Moisture,VM,snr_raw,snr_proc,absorption_proxy_raw,p2p_raw,rms_raw,kurtosis_raw,skew_raw,peak_time_raw,absorption_proxy_proc,p2p_proc,rms_proc,kurtosis_proc,skew_proc,peak_time_proc,acoustic_velocity,acoustic_velocity_onset,t_onset,rise_time_proc,fall_time_proc,peak_duration_proc,signal_energy_proc,area_under_curve_proc,p2p_tdb3,wave_energy_3,wave_entropy,spectral_centroid_global_raw,spectral_centroid_global_proc,spectral_bandwidth_global_raw,spectral_bandwidth_global_proc,spectral_entropy_global_raw,spectral_entropy_global_proc,area_under_fft_raw,area_under_fft_proc,dom_freq_1_raw,dom_mag_1_raw,dom_freq_2_raw,dom_mag_2_raw,dom_freq_3_raw,dom_mag_3_raw,dom_freq_1_proc,dom_mag_1_proc,dom_freq_2_proc,dom_mag_2_proc,dom_freq_3_proc,dom_mag_3_proc,peak_mag_ratio_raw,peak_mag_ratio_proc,wave_entropy_spectrum_raw,wave_entropy_spectrum_proc,spectral_centroid_1_raw,spectral_centroid_1_proc,spectral_bandwidth_1_raw,spectral_bandwidth_1_proc,spectral_entropy_1_raw,spectral_entropy_1_proc,spectral_area_1_raw,spectral_area_1_proc,dom_freq_band_1_raw,dom_freq_band_1_proc,wave_energy_band_1_raw,wave_energy_band_1_proc,spectral_centroid_2_raw,spectral_centroid_2_proc,spectral_bandwidth_2_raw,spectral_bandwidth_2_proc,spectral_entropy_2_raw,spectral_entropy_2_proc,spectral_area_2_raw,spectral_area_2_proc,dom_freq_band_2_raw,dom_freq_band_2_proc,wave_energy_band_2_raw,wave_energy_band_2_proc,spectral_centroid_3_raw,spectral_centroid_3_proc,spectral_bandwidth_3_raw,spectral_bandwidth_3_proc,spectral_entropy_3_raw,spectral_entropy_3_proc,spectral_area_3_raw,spectral_area_3_proc,dom_freq_band_3_raw,dom_freq_band_3_proc,wave_energy_band_3_raw,wave_energy_band_3_proc,spectral_centroid_4_raw,spectral_centroid_4_proc,spectral_bandwidth_4_raw,spectral_bandwidth_4_proc,spectral_entropy_4_raw,spectral_entropy_4_proc,spectral_area_4_raw,spectral_area_4_proc,dom_freq_band_4_raw,dom_freq_band_4_proc,wave_energy_band_4_raw,wave_energy_band_4_proc,spectral_centroid_5_raw,spectral_centroid_5_proc,spectral_bandwidth_5_raw,spectral_bandwidth_5_proc,spectral_entropy_5_raw,spectral_entropy_5_proc,spectral_area_5_raw,spectral_area_5_proc,dom_freq_band_5_raw,dom_freq_band_5_proc,wave_energy_band_5_raw,wave_energy_band_5_proc
Low_C3_P1_05,C3,P1,05,Low,Low_SCS.xlsx,412.297,,,,,21.85083931528295,21.822856505785943,0.00407854543655573,0.00548041879705296,0.0019921555194613795,170.4131199749802,-5.060616719694859,2.86e-06,0.0002345484057147611,0.0004242427846691782,5.164736478170863e-05,6.448309219916459,0.5286311629238275,2.68e-06,2238.8059701492534,2238.8059701492534,2.68e-06,5.5526120195996e-07,1.45724204444399e-06,1.0074571694755866e-06,3.4750960193886255e-06,9.175497718783465e-10,0.00014567454030682024,5.330626565020265e-09,0.4233479542837087,6.070013013010489,1.4085825134503036,7.406509577574502,2.6421545856978423,0.007446246403667251,0.5070553056847791,0.00028853030386232344,1.8244076622764957e-05,0.30627871362940273,2.2443145943654312e-05,0.6891271056661561,1.901590437333476e-05,0.8422664624808575,1.7900640206555244e-05,0.30627871362940273,1.87685903851454e-05,0.6891271056661561,1.8399979338238443e-05,1.0336906584992342,1.763815016321977e-05,1.1802302074517808,1.0200331761301353,0.9203161253592065,0.5043983822189502,0.3050970503449164,0.3046522418441617,0.04099493861257869,0.04977592932177209,0.5953645475366807,0.8209657922280991,1.72048710642484e-06,1.7766934440136887e-06,0.30627871362940273,0.30627871362940273,2.6115080755276932e-11,2.4381949806141e-11,0.47709140426904434,0.4754349585977478,0.05350420528248837,0.05529482265952795,0.8020706327001329,0.7283518320737816,1.3774548631657076e-06,9.609322276169905e-07,0.42113323124042873,0.42113323124042873,1.4803017558278936e-11,8.463685808178809e-12,0.6914331202168139,0.6775649385955718,0.049214730541585074,0.04659004349866264,0.9322798854450721,0.8776225278867223,2.1887344550757676e-06,2.1209760940352302e-06,0.6891271056661561,0.6891271056661561,3.28156903303001e-11,3.2141358166640957e-11,0.890129706508809,0.9105084068697329,0.06245556935376979,0.06436769671983031,0.9531435946792578,0.9555272218651055,2.7163988597106252e-06,2.4590432225620034e-06,0.8422664624808575,0.9954058192955589,4.040025418192306e-11,3.242258943075547e-11,1.1391171877078807,1.1160234090529284,0.07479231118371471,0.07690984798758398,0.9707269645302573,0.7997270340186332,3.0425147726758043e-06,2.049968365988828e-06,1.0719754977029097,1.0336906584992342,4.156245991059696e-11,2.2401649322409545e-11
Low_C3_P1_10,C3,P1,10,Low,Low_SCS.xlsx,412.297,,,,,23.51897557894608,24.032152335844966,0.00402478965330208,0.00547574438111787,0.0019215216716842775,160.57150931156616,-4.924155073074752,2.92e-06,0.00021392037878320458,0.00041811120596684783,5.174556373457439e-05,6.4462025148469975,0.42991891205707217,2.72e-06,2205.8823529411766,2238.8059701492534,2.68e-06,5.877593604723484e-07,1.5508518060598032e-06,9.019017745326013e-07,3.4533418368456254e-06,9.174414942085231e-10,0.00013231118520513527,4.4437714961630755e-09,0.43047636677829937,6.186327164139374,1.8018764040666815,7.457012005218841,3.4891135770059156,0.008147350859840191,0.499655253930816,0.00028738832975626675,1.876175055035029e-05,0.6891271056661561,1.9504721331635395e-05,0.8422664624808575,1.9252948619152656e-05,0.30627871362940273,1.8195566783920047e-05,0.15313935681470137,2.458474785117435e-05,0.6891271056661561,1.8697208411095772e-05,0.9954058192955589,1.753835532638834e-05,1.0130770462429446,1.3148886184365376,0.911364815550341,0.4981148237775771,0.30425952668212897,0.29763238497739375,0.04443998768791171,0.05268702742236189,0.6263518372221837,0.7707545327963687,1.3850853298887859e-06,1.321075690460241e-06,0.30627871362940273,0.22970903522205205,1.6927341939283793e-11,1.4741653489287976e-11,0.47701726080312457,0.4751955520211264,0.05733950841906776,0.05638603675944706,0.7336987015741437,0.7309956001091031,1.2790883688542576e-06,9.695221459755058e-07,0.42113323124042873,0.42113323124042873,1.3953256951161958e-11,8.322991033486912e-12,0.6908145235838351,0.6737169872877787,0.04914574801744988,0.04587154674858646,0.9161168746586867,0.8472283561373137,2.1199868584285673e-06,2.0644523697970646e-06,0.6891271056661561,0.6891271056661561,3.122459435791415e-11,3.148165272261647e-11,0.8903560160021324,0.9103622005965303,0.06146509989022593,0.06273640511808001,0.9473128204245936,0.9575741268633623,2.8939299265062558e-06,2.6819848894455195e-06,0.8422664624808575,0.9954058192955589,4.590324642071941e-11,3.85921702111517e-11,1.1349500163159423,1.1122474701769223,0.07341406391605258,0.0741844103059598,0.9508405891886084,0.7752218071286545,3.0796086424297328e-06,1.9695667329526895e-06,1.0719754977029097,1.0336906584992342,4.333049849346307e-11,2.1593567311494826e-11
Low_C3_P2_05,C3,P2,05,Low,Low_SCS.xlsx,412.297,,,,,21.012908567847926,19.09399900966748,0.00407353713376812,0.00549911646079336,0.0019092583575343095,168.65980276688927,-4.494440278600349,3.18e-06,0.00023098054739839572,0.0004604217828136736,4.758561700587844e-05,8.76145706735627,0.5312586863483139,3.02e-06,1986.7549668874174,2000.0,3e-06,3.4343487265643893e-07,2.544238283519902e-06,7.592592149414281e-07,2.946854467714455e-06,8.169275087850132e-10,0.0001336782841654097,7.998602641597679e-09,0.33851820876771,6.113292245034759,1.6275588012334214,7.388372204017373,3.075422079730539,0.007869677586286473,0.5310723291986937,0.00028044837872786036,1.820442137657392e-05,1.0719754977029097,2.050379288404994e-05,0.2679938744257274,1.937943267448976e-05,0.7656967840735068,1.9097831174892002e-05,0.5359877488514548,1.5746859371519474e-05,0.7656967840735068,1.5055495746985657e-05,1.0719754977029097,1.5001790625114235e-05,1.058018166497829,1.0459209441011794,0.9100533338803333,0.5291877368620758,0.30957766818315113,0.2989799842596284,0.05039674218129099,0.05820792584911904,0.841325451297685,0.8857018311199294,2.042157997220075e-06,1.562191352962614e-06,0.2679938744257274,0.22970903522205205,3.0958013371624124e-11,1.8372396852283257e-11,0.5113313559479774,0.5251894636668525,0.053406405982320326,0.04751997639787976,0.919514169345874,0.7114829191365851,1.4566071829008108e-06,1.3263550709900123e-06,0.57427258805513,0.5359877488514548,1.4757438674756946e-11,1.59185081086241e-11,0.7104955144318134,0.7149962602964154,0.05419358587063888,0.05105614948398159,0.7787620531062528,0.7536183361401058,1.6439419796547725e-06,1.231577494708117e-06,0.7656967840735068,0.7656967840735068,2.1424149260447073e-11,1.2363537422592932e-11,0.9086471489896352,0.90088124975292,0.07874435648269457,0.06854182028210482,0.7484456187215396,0.9596588683806108,1.2181356299782017e-06,1.818192603867366e-06,0.9954058192955589,0.8422664624808575,1.1371787314587417e-11,1.8100307836403738e-11,1.08631932500945,1.123019947252092,0.054396129707422955,0.07517697056971748,0.6116554494093885,0.8720088464779067,2.075623246630617e-06,2.296453337900577e-06,1.0719754977029097,1.0719754977029097,3.422011886172577e-11,2.651495190873924e-11
Low_C3_P2_10,C3,P2,10,Low,Low_SCS.xlsx,412.297,,,,,23.851297435476667,21.673974979524377,0.00408088264452328,0.005502121442465931,0.0019426948263420274,173.63682535872715,-4.955197799187846,3.22e-06,0.00025142566076796855,0.00048176851646700256,4.8273826698809245e-05,8.963149343488519,0.5038067354963378,3.1e-06,1935.483870967742,2000.0,3e-06,3.606969546779228e-07,2.534648031540247e-06,7.473079934102521e-07,3.038960180343499e-06,8.265020217656649e-10,0.00010346319159521648,8.296923508634778e-09,0.33598538648170795,6.072609679476537,1.4918921693660274,7.39445039661945,2.755081190035607,0.007617989264025762,0.5299379643096266,0.00028225268763620956,1.8110104244634234e-05,0.2679938744257274,2.6496272774892926e-05,1.0336906584992342,2.28214996495948e-05,0.7274119448698315,1.8272768435567436e-05,0.2679938744257274,2.1313054715396013e-05,1.0336906584992342,1.718313512005983e-05,0.7656967840735068,1.4018321476634108e-05,1.1610223701640485,1.2403471966048654,0.9161888175175831,0.5276544686012848,0.3043785715488732,0.2920039222068784,0.05037081403192182,0.053233681504088554,0.7204247187710644,0.7974584296265844,2.2169569290138194e-06,1.8671538564954196e-06,0.2679938744257274,0.2679938744257274,4.037020242708493e-11,2.776955662600739e-11,0.5163115321295153,0.527229447403816,0.04940225628843675,0.04555237410561488,0.8776561849346755,0.7310353172201677,1.4066581720400785e-06,1.25975066364715e-06,0.57427258805513,0.57427258805513,1.3984761790350514e-11,1.3280415221328408e-11,0.7201876720184444,0.7228371444371468,0.0475339397866002,0.04593772010719773,0.6479640782429582,0.6396771197378404,1.499762775831753e-06,1.1372082098265505e-06,0.7274119448698315,0.7656967840735068,2.100548240297638e-11,1.2769801147332286e-11,0.9146009901727509,0.9065244118413686,0.07721641821164923,0.06840333770624717,0.7205686435971975,0.9551073048271933,1.202053680357421e-06,1.773129005637456e-06,0.9954058192955589,0.9954058192955589,1.0707809145398184e-11,1.7141550614569787e-11,1.0908393434569148,1.11851424114123,0.05903468846354109,0.07309356003317646,0.6385339933138209,0.8471439179571395,2.3451329858453604e-06,2.4318603110018623e-06,1.0336906584992342,1.0336906584992342,4.010503792870472e-11,3.048624405288688e-11
Low_C3_P3_05,C3,P3,05,Low,Low_SCS.xlsx,412.297,,,,,19.69092722771847,18.520746409526275,0.00403447237202478,0.00550278921617094,0.0019332913550268323,178.55944811428802,-5.327188939720661,3.14e-06,0.0002051154450603688,0.0003763513171634544,4.7348993817194176e-05,6.634365664976971,0.9134779782598346,2.9e-06,2068.965517241379,2112.6760563380285,2.84e-06,4.70148369630306e-07,1.813683325791505e-06,7.948822882154025e-07,2.920748309011151e-06,8.520900559529645e-10,0.00010551694678151174,7.407888802718413e-09,0.48545517480358397,6.282662828954438,1.5269187411937428,7.516087080236972,2.9120195061222445,0.007859891321279266,0.48924194878397625,0.0002871628896487832,1.6796034989777223e-05,0.8039816232771821,1.908624372909722e-05,0.30627871362940273,1.754383106930818e-05,1.0719754977029097,1.3637478135874396e-05,0.8805513016845329,1.7461687882658174e-05,0.30627871362940273,1.3151227550666986e-05,0.6125574272588055,1.269288203934922e-05,1.0879176028187931,1.32776096281686,0.9289458685618286,0.48621109268371,0.30784289491969874,0.30155146448952175,0.04574982615444578,0.04604732637543205,0.7743238902905668,0.8681856712458362,1.6070051699023296e-06,1.4238787417109343e-06,0.30627871362940273,0.30627871362940273,2.0051645532169947e-11,1.445383955931116e-11,0.5005465205947872,0.5178695345609241,0.06068839031196019,0.0615028154980774,0.8868375538756217,0.6466952475525674,8.689073203351393e-07,6.909613903635097e-07,0.57427258805513,0.57427258805513,5.530759083590874e-12,4.683988096268446e-12,0.7021973063268004,0.6903197907506169,0.05872031503264225,0.061585867138485004,0.8431511935876707,0.8586091420210505,1.430833969718461e-06,1.195249528883973e-06,0.7656967840735068,0.6125574272588055,1.514004051866621e-11,1.0615955800054897e-11,0.8816471131398462,0.8909237119779453,0.06762280646591921,0.06275739498796379,0.8739100360725958,0.96822164610322,2.3779004276126573e-06,2.7114284528970785e-06,0.8039816232771821,0.8805513016845329,3.396514991642081e-11,3.949987325400525e-11,1.1172370371128242,1.14702149205189,0.06437289436155332,0.08190180410968768,0.8662331622753795,0.9617987602328596,2.1591835427846246e-06,1.306296952191363e-06,1.0719754977029097,1.2633996937212861,2.3293263157755125e-11,7.714499865294773e-12
Low_C3_P3_10,C3,P3,10,Low,Low_SCS.xlsx,412.297,,,,,21.144501733415023,18.00039453097533,0.00403213516405723,0.00548876596836564,0.0019280003345692074,180.1542671528327,-4.947882383742172,3.06e-06,0.00019371482169682733,0.0003735741278875341,4.4037949671138277e-05,7.731327811425544,0.7700347991556721,2.88e-06,2083.3333333333335,2112.6760563380285,2.84e-06,4.489244549794611e-07,1.8882518215761266e-06,9.063409681667266e-07,2.5222633570576308e-06,7.49643966797227e-10,8.889332047107629e-05,5.3487815057462106e-09,0.4601239024802801,6.267581117222927,1.5597682385394562,7.501253309357745,3.0265814146356242,0.007770646170347411,0.5122276793140733,0.00028498463245536424,1.621961065888677e-05,0.8039816232771821,1.8736883503135362e-05,0.30627871362940273,1.8456154916609906e-05,1.0719754977029097,1.3330542605668502e-05,0.15313935681470137,1.9359858932592246e-05,0.8422664624808575,1.638081580404072e-05,0.30627871362940273,1.3119588056413671e-05,1.0152105122970279,1.1818616351180165,0.928015738639567,0.5096541375497299,0.31194021061524124,0.29910181394022656,0.0464236733654294,0.04866391465984536,0.8029166908235398,0.9078277312687599,1.7072408992449877e-06,1.437076644154197e-06,0.30627871362940273,0.30627871362940273,2.2077994600195036e-11,1.4421108325785548e-11,0.49926201384321667,0.5120012685619942,0.05771684264053855,0.06165145179504134,0.9593741860380239,0.7071991209047411,9.043597905574203e-07,7.061720264322594e-07,0.57427258805513,0.57427258805513,5.496660200686667e-12,4.2593147246049625e-12,0.7058352451844744,0.6922749383125736,0.05993345112961468,0.06289747556170736,0.7477549056774886,0.8125844053377311,1.274892240348569e-06,1.1368672068643657e-06,0.7656967840735068,0.7656967840735068,1.321805867056346e-11,1.024667305728617e-11,0.8840934962590431,0.8910009132439309,0.06950765529273396,0.06339704550853481,0.8720697060656113,0.9746472747561771,2.3155907731349736e-06,2.6062806480538315e-06,0.8039816232771821,0.8422664624808575,3.216225827784309e-11,3.616716390978027e-11,1.1200143694913338,1.1479080333657106,0.0634009804185676,0.079018606521377,0.8881877517140455,0.9724661804173409,2.2462261414370678e-06,1.3990896325640716e-06,1.0719754977029097,1.225114854517611,2.4661605062727608e-11,8.786081566291835e-12
Low_C3_P4_05,C3,P4,05,Low,Low_SCS.xlsx,412.297,,,,,23.984531138525128,25.271889915108154,0.00416134937597751,0.00547374106000282,0.0020576436168279182,183.40410507390098,-4.580967391560559,2.88e-06,0.0003047563489855922,0.0005037178257380619,4.7176246289628364e-05,17.24151184512025,1.910086051537511,2.82e-06,2127.659574468085,2238.8059701492534,2.68e-06,5.629067049862427e-07,2.8449571279795494e-06,1.0022568344222464e-06,2.9034395018635455e-06,6.580908757062332e-10,7.02117115418519e-05,4.923448899914598e-09,0.35883292233958897,6.119862034785621,1.4124089498350707,7.4827447026095255,2.1926105893634293,0.006822843688810158,0.5046767508291429,0.00029109141637262496,1.6948429909193003e-05,0.8039816232771821,2.4578144347635886e-05,1.0719754977029097,2.0172159946039292e-05,1.4931087289433382,1.1629268467139083e-05,0.9188361408882082,2.0605311922898226e-05,0.6891271056661561,1.4291304749885482e-05,0.42113323124042873,8.471807829992386e-06,1.2184190089194034,1.4418075075514594,0.9398740618978366,0.5046807523271514,0.30460282773795494,0.2978814584686724,0.05034078041102625,0.0523270475498549,0.9372684701935375,0.8970990483103126,1.2664650758466784e-06,9.431126019126269e-07,0.34456355283307805,0.22970903522205205,1.0936000194916671e-11,6.2964986182209456e-12,0.48847130393184834,0.5050609223871901,0.05225813892367983,0.057542656121302355,0.9433291075299886,0.9246991784007107,1.2331393803535255e-06,1.0933107353273823e-06,0.42113323124042873,0.57427258805513,1.0267537850261687e-11,8.418769219781327e-12,0.7248237264435164,0.7090207562647565,0.03966706079804194,0.04703945775733636,0.687571646631939,0.8448746835186676,1.6585764337607758e-06,1.6541972884181896e-06,0.7656967840735068,0.7656967840735068,2.5120481506604917e-11,2.0243099671355713e-11,0.883219464817657,0.8962220794614124,0.06534801207329533,0.06335217755887937,0.9209374895627461,0.9911097661382533,3.3231595085619486e-06,3.630864264406921e-06,0.8039816232771821,0.9188361408882082,6.216300738633214e-11,6.933101963118724e-11,1.1320615321343617,1.1279153273185367,0.07493264493632398,0.08205987827197875,0.9407616017649357,0.8515757950137246,3.276438315224263e-06,1.870563247680258e-06,1.0719754977029097,1.0336906584992342,4.9190470939053475e-11,1.774390504486092e-11
Low_C3_P4_10,C3,P4,10,Low,Low_SCS.xlsx,412.297,,,,,24.423917581702945,25.017972801617844,0.00406886271783302,0.00545404173570489,0.0019904228277467045,184.41391878664712,-4.554223289881609,2.92e-06,0.0003163663515314543,0.0005173550465818614,4.7723582025690634e-05,18.89120718507278,2.2186395036118434,2.76e-06,2173.913043478261,2238.8059701492534,2.68e-06,5.074521137297312e-07,1.7573067314243009e-06,1.0575950656941855e-06,2.95582076342769e-06,6.437665168301959e-10,8.364203530931169e-05,6.824710187434934e-09,0.33929675897494843,6.255170476359645,1.7659386663795917,7.529584585734055,3.197964045823399,0.007262380502267555,0.5066564661377523,0.00028926958866290454,1.7558440687093337e-05,0.8422664624808575,2.3085878093679684e-05,1.0719754977029097,2.1010106430820083e-05,0.6891271056661561,1.4880885861036005e-05,0.9188361408882082,2.095997952983617e-05,0.6891271056661561,1.451678785897833e-05,0.15313935681470137,1.3050618407059617e-05,1.0987986696257734,1.443844071402393,0.941251454143241,0.506419737212962,0.30338730304436273,0.30004142483954804,0.05352660321824943,0.0589237746269306,0.8633664458997671,0.797431089629464,1.0580612469866726e-06,9.576656425218575e-07,0.30627871362940273,0.22970903522205205,8.460439930816345e-12,7.552687377312185e-12,0.5019827952027058,0.5226958536141119,0.052260695223787894,0.05041556589079637,0.9516086969495249,0.7732645195872307,1.0638687168447175e-06,1.003178841132908e-06,0.49770290964777947,0.57427258805513,7.758069089077614e-12,8.226113845120472e-12,0.7229276340852518,0.7057216260097615,0.04162840019726956,0.0495247266280321,0.6955176297526694,0.8516733546484391,1.73856113791944e-06,1.6322220155171997e-06,0.7656967840735068,0.7656967840735068,2.6284639571929847e-11,1.9356308380236358e-11,0.8874999790973508,0.9007121685883477,0.0660659972918205,0.06330462422282018,0.9420572173695041,0.990186292575832,3.3340450413487497e-06,3.6566752097124862e-06,0.8422664624808575,0.9188361408882082,6.183755324349875e-11,7.040874550909234e-11,1.128429375630365,1.1299853187250979,0.07176543838994509,0.08153597933064671,0.9254717868833678,0.8795932156454875,3.4155100041311614e-06,1.9457993748205273e-06,1.0719754977029097,1.0336906584992342,5.4183483231128915e-11,1.8804776829815196e-11
Low_C3_P5_05,C3,P5,05,Low,Low_SCS.xlsx,412.297,,,,,23.58589778134651,22.932219716637533,0.00414498892020465,0.00543935071419457,0.0020398666033107794,172.34155099691583,-4.148784139030657,2.9e-06,0.0003126195666877373,0.0005880156556879876,6.075483774797254e-05,8.826838739517335,0.4268676896666568,2.72e-06,2205.8823529411766,2222.222222222222,2.7e-06,5.416464267567863e-07,4.306689167448109e-06,7.947994611403009e-07,4.701999523430269e-06,1.009261039613582e-09,9.541833789857361e-05,1.0983769936398187e-08,0.34837579331484264,5.906790896995742,1.1827525521525606,7.346203797658867,1.8479854173754007,0.006913281477956943,0.48651268876167236,0.0002871863112201822,2.0893488060394692e-05,0.8039816232771821,2.2471799896171952e-05,0.6508422664624809,2.198693033078611e-05,1.14854517611026,1.999060538780811e-05,0.6508422664624809,2.3740364037295998e-05,0.9954058192955589,1.6767313929047153e-05,0.8039816232771821,1.673569763421203e-05,1.0220525801482325,1.4158715416127219,0.921668630345538,0.48648140078054414,0.32864371753980093,0.31651769082689635,0.05176492631083323,0.05629703015388164,0.6612673508396311,0.8603163134454013,1.3301704416251808e-06,1.2085110850584362e-06,0.3828483920367534,0.3828483920367534,1.7203689571955866e-11,1.0821319733196327e-11,0.4857588558451044,0.4884814535001191,0.06324168422492943,0.061314329962794116,0.7406855838491345,0.7714713576655928,1.1016048270499913e-06,1.079409993725552e-06,0.42113323124042873,0.4594180704441041,1.134083492534365e-11,1.0533974995523289e-11,0.6931897724063175,0.6793125114158434,0.05011308004099399,0.05087539532992737,0.9419051192326058,0.8979641036472444,2.8025799987464954e-06,2.4621091158871622e-06,0.6508422664624809,0.6508422664624809,5.332095234654764e-11,4.318756695894109e-11,0.8796410434982699,0.8983142786760311,0.06869854801145348,0.06695810583492243,0.8433130877507535,0.9891286942687718,2.4486050350390604e-06,2.868299906021647e-06,0.8039816232771821,0.9954058192955589,3.728036248947327e-11,4.341238051245027e-11,1.1413710742749237,1.1453683675914832,0.0696467789857612,0.07793294750064433,0.9566653214394604,0.9920073914885144,3.7953323910001785e-06,2.4974427807793014e-06,1.14854517611026,1.0719754977029097,6.478792883051253e-11,2.7392120295606376e-11
Low_C3_P5_10,C3,P5,10,Low,Low_SCS.xlsx,412.297,,,,,21.980939146579527,22.617888200084003,0.00420842742218102,0.0055011197819084,0.0020535409730513743,180.3804787693244,-4.333196712667741,2.92e-06,0.0002859897551650397,0.0005532140723701667,5.819020199376235e-05,8.660061891908073,0.2114525495482574,2.74e-06,2189.78102189781,2205.8823529411766,2.72e-06,5.631767932896022e-07,2.1277987397841013e-06,8.290649872394973e-07,4.402729521384691e-06,9.494697714845907e-10,9.564820882100944e-05,9.442043359292096e-09,0.3806788839324907,5.891972039833372,1.472554448384563,7.348625083888652,2.6929046078049304,0.006781984056875601,0.4942096355136129,0.0002875567420510612,2.0887284998003287e-05,0.6508422664624809,2.233038671457593e-05,0.8039816232771821,2.143508692701093e-05,1.1102603369065849,1.836678026328648e-05,0.6508422664624809,2.342017507729047e-05,0.8039816232771821,1.5861600983952134e-05,0.3828483920367534,1.4212899813994427e-05,1.0417679083292593,1.476532767685488,0.9282999828538703,0.49355115811196826,0.32178119368989655,0.32696404764838544,0.055486579613953445,0.05446711657168038,0.7103843368984601,0.6971380968278345,1.3236471252858347e-06,1.053494607753159e-06,0.3828483920367534,0.3828483920367534,1.5782214811710284e-11,1.0541913913005088e-11,0.4884632733576809,0.48696280512055007,0.062161742215094525,0.060355521685506834,0.7960217767552176,0.7929847652598375,1.0826000144705417e-06,1.0998620945349953e-06,0.42113323124042873,0.42113323124042873,9.944010385535265e-12,1.0479196712922557e-11,0.6929322952764106,0.6803092182579377,0.04815411297636669,0.04852528488055234,0.9231157380485483,0.8991064627600275,2.9155001424813715e-06,2.569038136855556e-06,0.6508422664624809,0.6508422664624809,5.823712167801177e-11,4.628199778337156e-11,0.875113916914381,0.895269112991739,0.06590781668808667,0.06589390969741656,0.8249571126511377,0.9905793253462346,2.2852769202950513e-06,2.7034226728196343e-06,0.8039816232771821,0.8039816232771821,3.2891470893833e-11,3.8528335632066765e-11,1.1450789819046945,1.1446945025650552,0.07069314088239162,0.07735179430971574,0.9706477652095163,0.9938404848566158,3.734368942321148e-06,2.3723996005189692e-06,1.1102603369065849,1.0336906584992342,6.205090727240377e-11,2.4604060242835592e-11
