signal_id,sample_code,scs_label,Ignition_Temp,Spectral Centroid,SNR_raw,Spectral Bandwidth 5,Spectral Entropy 4,Spectral Centroid 3,Kurtosis,RMS value,Absorption Proxy,P2P,Wave Energy 3,Acoustic Velocity,Peak Time,Spectral Centroid 2,Dominant Frequency 1 peak,Spectral Bandwidth 3,Wave Entropy,P2P-TDB3,Peak Duration,Spectral Centroid 4,Dominant Frequency 2 peak
Low_C3_P1_05,C3,Low,412.297,6.070013013010489,21.85083931528295,0.07479231118371471,0.9531435946792578,0.6914331202168139,170.4131199749802,0.0019921555194613795,0.00407854543655573,0.00548041879705296,3.28156903303001e-11,2238.8059701492534,2.68e-06,0.47709140426904434,0.30627871362940273,0.049214730541585074,0.9203161253592065,0.00014567454030682024,1.0074571694755866e-06,0.890129706508809,0.42113323124042873
Low_C3_P1_10,C3,Low,412.297,6.186327164139374,23.51897557894608,0.07341406391605258,0.9473128204245936,0.6908145235838351,160.57150931156616,0.0019215216716842775,0.00402478965330208,0.00547574438111787,3.122459435791415e-11,2205.8823529411766,2.72e-06,0.47701726080312457,0.30627871362940273,0.04914574801744988,0.911364815550341,0.00013231118520513527,9.019017745326013e-07,0.8903560160021324,0.42113323124042873
Low_C3_P2_05,C3,Low,412.297,6.113292245034759,21.012908567847926,0.054396129707422955,0.7484456187215396,0.7104955144318134,168.65980276688927,0.0019092583575343095,0.00407353713376812,0.00549911646079336,2.1424149260447073e-11,1986.7549668874174,3.02e-06,0.5113313559479774,0.2679938744257274,0.05419358587063888,0.9100533338803333,0.0001336782841654097,7.592592149414281e-07,0.9086471489896352,0.57427258805513
Low_C3_P2_10,C3,Low,412.297,6.072609679476537,23.851297435476667,0.05903468846354109,0.7205686435971975,0.7201876720184444,173.63682535872715,0.0019426948263420274,0.00408088264452328,0.005502121442465931,2.100548240297638e-11,1935.483870967742,3.1e-06,0.5163115321295153,0.2679938744257274,0.0475339397866002,0.9161888175175831,0.00010346319159521648,7.473079934102521e-07,0.9146009901727509,0.57427258805513
Low_C3_P3_05,C3,Low,412.297,6.282662828954438,19.69092722771847,0.06437289436155332,0.8739100360725958,0.7021973063268004,178.55944811428802,0.0019332913550268323,0.00403447237202478,0.00550278921617094,1.514004051866621e-11,2068.965517241379,2.9e-06,0.5005465205947872,0.30627871362940273,0.05872031503264225,0.9289458685618286,0.00010551694678151174,7.948822882154025e-07,0.8816471131398462,0.57427258805513
Low_C3_P3_10,C3,Low,412.297,6.267581117222927,21.144501733415023,0.0634009804185676,0.8720697060656113,0.7058352451844744,180.1542671528327,0.0019280003345692074,0.00403213516405723,0.00548876596836564,1.321805867056346e-11,2083.3333333333335,2.88e-06,0.49926201384321667,0.30627871362940273,0.05993345112961468,0.928015738639567,8.889332047107629e-05,9.063409681667266e-07,0.8840934962590431,0.57427258805513
Low_C3_P4_05,C3,Low,412.297,6.119862034785621,23.984531138525128,0.07493264493632398,0.9209374895627461,0.7248237264435164,183.40410507390098,0.0020576436168279182,0.00416134937597751,0.00547374106000282,2.5120481506604917e-11,2127.659574468085,2.82e-06,0.48847130393184834,0.34456355283307805,0.03966706079804194,0.9398740618978366,7.02117115418519e-05,1.0022568344222464e-06,0.883219464817657,0.42113323124042873
Low_C3_P4_10,C3,Low,412.297,6.255170476359645,24.423917581702945,0.07176543838994509,0.9420572173695041,0.7229276340852518,184.41391878664712,0.0019904228277467045,0.00406886271783302,0.00545404173570489,2.6284639571929847e-11,2173.913043478261,2.76e-06,0.5019827952027058,0.30627871362940273,0.04162840019726956,0.941251454143241,8.364203530931169e-05,1.0575950656941855e-06,0.8874999790973508,0.49770290964777947
Low_C3_P5_05,C3,Low,412.297,5.906790896995742,23.58589778134651,0.0696467789857612,0.8433130877507535,0.6931897724063175,172.34155099691583,0.0020398666033107794,0.00414498892020465,0.00543935071419457,5.332095234654764e-11,2205.8823529411766,2.72e-06,0.4857588558451044,0.3828483920367534,0.05011308004099399,0.921668630345538,9.541833789857361e-05,7.947994611403009e-07,0.8796410434982699,0.42113323124042873
Low_C3_P5_10,C3,Low,412.297,5.891972039833372,21.980939146579527,0.07069314088239162,0.8249571126511377,0.6929322952764106,180.3804787693244,0.0020535409730513743,0.00420842742218102,0.0055011197819084,5.823712167801177e-11,2189.78102189781,2.74e-06,0.4884632733576809,0.3828483920367534,0.04815411297636669,0.9282999828538703,9.564820882100944e-05,8.290649872394973e-07,0.875113916914381,0.42113323124042873
